n,k,pytorch,bitnet,rsr_py,adaptive,v1,v2.4,v4.2
1024,2,0.050074,0.024859,4.20608,0.026484,0.151231,0.030517,0.023621
1024,4,0.050074,0.024859,2.615864,0.031256,0.122559,0.034193,0.027718
1024,6,0.050074,0.024859,,0.037535,,,
1024,8,0.050074,0.024859,1.195011,0.031501,0.36605,0.037732,0.028924
1024,10,0.050074,0.024859,,0.044549,,,
1024,12,0.050074,0.024859,,0.047652,,,
2048,2,0.18225,0.050277,11.535726,0.053476,0.492631,0.047375,0.037517
2048,4,0.18225,0.050277,5.586564,0.037155,0.307302,0.047911,0.033737
2048,6,0.18225,0.050277,,0.039986,,,
2048,8,0.18225,0.050277,2.167117,0.036806,0.776323,0.052399,0.039609
2048,10,0.18225,0.050277,,0.067998,,,
2048,12,0.18225,0.050277,,0.089034,,,
4096,2,2.049809,0.148153,36.04569,0.158101,1.997347,0.142745,0.087721
4096,4,2.049809,0.148153,16.555071,0.055068,1.166838,0.089736,0.053576
4096,6,2.049809,0.148153,,0.05576,,,
4096,8,2.049809,0.148153,6.249966,0.071738,1.76329,0.095188,0.061681
4096,10,2.049809,0.148153,,0.194868,,,
4096,12,2.049809,0.148153,,0.243552,,,
8192,2,7.694255,0.535115,118.546423,0.368403,8.981603,0.450524,0.367131
8192,4,7.694255,0.535115,58.569038,0.166755,6.373471,0.242529,0.164581
8192,6,7.694255,0.535115,,0.157282,,,
8192,8,7.694255,0.535115,20.02504,0.101932,5.176542,0.178603,0.203773
8192,10,7.694255,0.535115,,0.458638,,,
8192,12,7.694255,0.535115,,0.847368,,,
16384,2,29.229389,3.442742,410.968211,3.453023,35.489335,3.695392,3.081555
16384,4,29.229389,3.442742,190.609704,1.932984,27.274471,1.791382,1.385807
16384,6,29.229389,3.442742,,0.75723,,,
16384,8,29.229389,3.442742,72.493713,0.488048,17.388419,0.761543,0.485511
16384,10,29.229389,3.442742,,0.861133,,,
16384,12,29.229389,3.442742,,2.487152,,,
