n,k,pytorch_fp32,pytorch_fp16,pytorch_bf16,pytorch_int8,rsr_py,cuda_adaptive,cuda_v4.10,cuda_v5.10,cuda_v5.7,cuda_v5.8,cuda_v5.9
1024,2,0.01056,0.019408,0.01904,0.053088,7.86024,0.00808,0.007632,0.007552,0.00744,0.007296,0.007376
1024,4,0.01056,0.019408,0.01904,0.053088,3.926944,0.008,0.007552,0.007568,0.00744,0.007424,0.007392
1024,6,0.01056,0.019408,0.01904,0.053088,,0.021296,,,,,
1024,8,0.01056,0.019408,0.01904,0.053088,1.966832,0.023008,0.016928,0.022944,0.022944,0.009184,0.014752
1024,10,0.01056,0.019408,0.01904,0.053088,,0.040464,,,,,
1024,12,0.01056,0.019408,0.01904,0.053088,,0.05176,,,,,
2048,2,0.016752,0.020224,0.01976,0.077936,15.774064,0.007488,0.007536,0.007488,0.00736,0.007424,0.007344
2048,4,0.016752,0.020224,0.01976,0.077936,7.86224,0.007376,0.006928,0.0068,0.006784,0.009392,0.006704
2048,6,0.016752,0.020224,0.01976,0.077936,,0.021728,,,,,
2048,8,0.016752,0.020224,0.01976,0.077936,3.953776,0.025808,0.018912,0.025072,0.025088,0.016848,0.014832
2048,10,0.016752,0.020224,0.01976,0.077936,,0.051648,,,,,
2048,12,0.016752,0.020224,0.01976,0.077936,,0.078144,,,,,
4096,2,0.048688,0.029408,0.029552,0.1216,31.397376,0.012768,0.008784,0.010784,0.01272,0.013248,0.010768
4096,4,0.048688,0.029408,0.029552,0.1216,15.759456,0.010672,0.010352,0.009184,0.009312,0.010544,0.008656
4096,6,0.048688,0.029408,0.029552,0.1216,,0.02288,,,,,
4096,8,0.048688,0.029408,0.029552,0.1216,7.895696,0.027008,0.03336,0.025024,0.025072,0.025776,0.024976
4096,10,0.048688,0.029408,0.029552,0.1216,,0.063152,,,,,
4096,12,0.048688,0.029408,0.029552,0.1216,,0.142448,,,,,
8192,2,0.167248,0.086896,0.085904,0.21168,69.655792,0.0292,0.021024,0.02904,0.093184,0.092624,0.02896
8192,4,0.167248,0.086896,0.085904,0.21168,31.435424,0.016928,0.01744,0.016816,0.01896,0.01944,0.016672
8192,6,0.167248,0.086896,0.085904,0.21168,,0.031904,,,,,
8192,8,0.167248,0.086896,0.085904,0.21168,15.911264,0.04144,0.053712,0.039904,0.049616,0.048096,0.03968
8192,10,0.167248,0.086896,0.085904,0.21168,,0.107664,,,,,
8192,12,0.167248,0.086896,0.085904,0.21168,,0.328832,,,,,
16384,2,0.6392,0.321856,0.321408,0.41496,219.674355,0.180304,0.17008,0.180144,0.332816,0.333648,0.179472
16384,4,0.6392,0.321856,0.321408,0.41496,83.588337,0.094512,0.090224,0.094064,0.171504,0.170752,0.092832
16384,6,0.6392,0.321856,0.321408,0.41496,,0.059328,,,,,
16384,8,0.6392,0.321856,0.321408,0.41496,31.875585,0.076352,0.0948,0.076304,0.131024,0.13792,0.076848
16384,10,0.6392,0.321856,0.321408,0.41496,,0.212656,,,,,
16384,12,0.6392,0.321856,0.321408,0.41496,,0.77032,,,,,
